arc_i,arc_j,capacity_00,capacity_01,capacity_02,capacity_03,capacity_04,capacity_05,capacity_06,capacity_07,capacity_08,capacity_09,capacity_10,capacity_11,capacity_12,capacity_13,capacity_14,capacity_15,capacity_16,capacity_17,capacity_18,capacity_19,capacity_20
1070,1069,611969083,134528297,2022948265,17862751,1477,394056476,141866287,111780011,32066544,358733349,7015040,64346194,5335311,76013395,0,86659834,0,3389434,656274610,1797801,2528685332
1070,superSink09,0,0,0,0,0,0,0,0,0,474449,0,0,0,0,0,0,0,0,0,0,474449
1070,1071,768424561,168921684,2540133441,22429526,1855,494800609,178135698,140357591,40264649,450446802,8808499,80796886,6699331,95446913,0,108815211,0,4255974,824057201,2257426,3175166802
1070,superSink17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380616,0,0,380616
1070,1076,259536821,57053612,857934783,7575614,626,167119824,60165662,47406036,13599460,152139243,2975086,27289298,2262711,32237372,0,36752539,0,1437463,278326848,762449,1072418479
1070,superSink10,0,0,0,0,0,0,0,0,0,0,44023,0,0,0,0,0,0,0,0,0,44023
1070,superSource08,0,0,0,0,0,0,0,0,261084,0,0,0,0,0,0,0,0,0,0,0,261084
1071,superSource07,0,0,0,0,0,0,0,10916974,0,0,0,0,0,0,0,0,0,0,0,0,10916974
1071,superSource10,0,0,0,0,0,0,0,0,0,0,941483,0,0,0,0,0,0,0,0,0,941483
1071,superSource04,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422
1071,superSource03,0,0,0,3050206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3050206
1071,superSource15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590388,0,0,0,0,1590388
1071,superSink12,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,82
1071,superSink13,0,0,0,0,0,0,0,0,0,0,0,0,0,17485,0,0,0,0,0,0,17485
1071,superSource17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16694,0,0,16694
1071,superSink18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14547518,0,14547518
1071,1070,768424561,168921684,2540133441,22429526,1855,494800609,178135698,140357591,40264649,450446802,8808499,80796886,6699331,95446913,0,108815211,0,4255974,824057201,2257426,3175166802
1071,superSink08,0,0,0,0,0,0,0,0,6893,0,0,0,0,0,0,0,0,0,0,0,6893
1071,1072,768424561,168921684,2540133441,22429526,1855,494800609,178135698,140357591,40264649,450446802,8808499,80796886,6699331,95446913,0,108815211,0,4255974,824057201,2257426,3175166802
1072,superSource10,0,0,0,0,0,0,0,0,0,0,2403,0,0,0,0,0,0,0,0,0,2403
1072,superSource06,0,0,0,0,0,0,584311,0,0,0,0,0,0,0,0,0,0,0,0,0,584311
1072,superSource12,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,129
1072,superSink04,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
1072,superSink03,0,0,0,34177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34177
1072,superSink00,2641689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2641689
1072,superSource17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2085,0,0,2085
1072,superSink18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360062,0,1360062
